 
,Player,Nation,Pos,Age,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
Kenji-Van Boto,mg MAD,DF,27-067,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,2,10,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,c03b7266
Donovan Léon,gf GUF,GK,30-191,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,51c83a90
Brayann Pereira,fr FRA,DF,19-357,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,4,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,5c42e7ce
Dénys Bain,fr FRA,DF,29-315,2,1,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,5065d67d
Théo Pellenard,fr FRA,DF,29-070,2,1,99,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,97fb4608
Kays Ruiz,ma MAR,MF,20-260,1,1,62,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,90a9cc01
Rémy Dugimont,fr FRA,FWMF,36-316,11,0,113,1.3,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.4,2,8,12,0.00,0.80,0.80,0.00,0.80,0.10,0.22,0.32,0.10,0.32,Matches,6d7ede84
Ousmane Camara,gn GUI,FWMF,21-191,3,0,24,0.3,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,2,2,1,0.00,0.00,0.00,0.00,0.00,0.19,0.83,1.01,0.19,1.01,Matches,5a6b06cd
Kévin Danois,fr FRA,MF,18-319,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e76f6fbe
Ousoumane Camara,fr FRA,MF,24-145,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,c7511849
Vincenzo Cozzella,it ITA,GK,21-143,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,f1add936
Théo De Percin,mq MTQ,GK,22-100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,afbb55d2
Raphaël Lipinski,fr FRA,MF,20-287,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,d246ee7b
Alban Lafont,fr FRA,GK,24-110,33,33,2969,33.0,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4e7db402
Andrei Girotto,br BRA,DFMF,31-085,32,32,2789,31.0,1,1,2,1,0,0,6,0,1.4,1.4,1.9,3.3,14,135,7,0.03,0.03,0.06,0.03,0.06,0.04,0.06,0.11,0.04,0.11,Matches,3befc2b6
Ludovic Blas,fr FRA,MFFW,25-133,33,26,2466,27.4,7,4,11,5,2,4,3,0,8.1,5.1,4.8,9.9,107,141,224,0.26,0.15,0.40,0.18,0.33,0.29,0.18,0.47,0.19,0.36,Matches,6191093d
Jean-Charles Castelletto,cm CMR,DF,28-107,28,26,2208,24.5,0,0,0,0,0,0,2,0,0.7,0.7,0.4,1.2,17,105,18,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches,e0f3a1f6
Moses Simon,ng NGA,FWMF,27-305,30,26,2153,23.9,5,4,9,4,1,1,3,0,4.2,3.2,3.4,6.6,125,56,206,0.21,0.17,0.38,0.17,0.33,0.17,0.14,0.32,0.13,0.28,Matches,5f3eaaf5
Nicolas Pallois,fr FRA,DF,35-236,24,24,2067,23.0,1,0,1,1,0,0,4,1,1.2,1.2,0.3,1.5,7,80,3,0.04,0.00,0.04,0.04,0.04,0.05,0.01,0.06,0.05,0.06,Matches,779847d6
Samuel Moutoussamy,cd COD,MF,26-274,31,23,2040,22.7,0,2,2,0,0,0,7,0,1.4,1.4,0.9,2.3,33,144,40,0.00,0.09,0.09,0.00,0.09,0.06,0.04,0.10,0.06,0.10,Matches,af0c835b
Pedro Chirivella,es ESP,MF,25-355,24,23,1891,21.0,0,1,1,0,0,0,1,0,0.8,0.8,1.6,2.4,15,164,22,0.00,0.05,0.05,0.00,0.05,0.04,0.08,0.11,0.04,0.11,Matches,68a26d51
Moussa Sissoko,fr FRA,MF,33-270,26,22,1847,20.5,2,0,2,2,0,0,3,0,2.4,2.4,0.9,3.3,32,103,69,0.10,0.00,0.10,0.10,0.10,0.12,0.04,0.16,0.12,0.16,Matches,2acd49b9
Mostafa Mohamed,eg EGY,FW,25-166,34,18,1823,20.3,8,2,10,8,0,0,0,0,7.3,7.3,1.7,9.0,13,22,105,0.39,0.10,0.49,0.39,0.49,0.36,0.08,0.44,0.36,0.44,Matches,595e6f3e
Quentin Merlin,fr FRA,DF,20-362,20,18,1482,16.5,0,2,2,0,0,0,1,0,0.5,0.5,2.6,3.1,37,81,80,0.00,0.12,0.12,0.00,0.12,0.03,0.16,0.19,0.03,0.19,Matches,0bfca6a1
Fabien Centonze,fr FRA,DF,27-117,21,17,1509,16.8,0,0,0,0,0,0,4,0,0.7,0.7,0.9,1.5,40,95,115,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09,Matches,3c6bbbab
Evann Guessand,fr FRA,FWMF,21-316,29,15,1229,13.7,3,2,5,3,0,0,2,0,2.5,2.5,1.3,3.9,43,37,96,0.22,0.15,0.37,0.22,0.37,0.19,0.10,0.28,0.19,0.28,Matches,b73f17f8
Ignatius Ganago,cm CMR,FWMF,24-086,26,14,1384,15.4,4,3,7,4,0,0,0,0,2.7,2.7,1.7,4.4,23,19,96,0.26,0.20,0.46,0.26,0.46,0.17,0.11,0.28,0.17,0.28,Matches,23c63b7f
Florent Mollet,fr FRA,MF,31-175,15,9,860,9.6,1,2,3,1,0,0,2,0,1.1,1.1,2.6,3.8,22,62,59,0.10,0.21,0.31,0.10,0.31,0.12,0.28,0.39,0.12,0.39,Matches,7e82a78f
Dennis Appiah,fr FRA,DFMF,30-338,15,9,795,8.8,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.6,15,39,51,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.06,0.05,0.06,Matches,feb5d3ab
Jaouen Hadjam,dz ALG,DF,20-048,12,8,776,8.6,0,1,1,0,0,0,1,0,0.2,0.2,0.3,0.5,22,45,38,0.00,0.12,0.12,0.00,0.12,0.02,0.04,0.06,0.02,0.06,Matches,576817b7
João Victor,br BRA,DF,24-300,11,7,662,7.4,0,1,1,0,0,0,4,0,0.0,0.0,0.4,0.4,11,30,11,0.00,0.14,0.14,0.00,0.14,0.00,0.05,0.06,0.00,0.06,Matches,d60cf08d
Sébastien Corchia,fr FRA,DF,32-193,22,6,786,8.7,0,1,1,0,0,0,3,0,0.2,0.2,0.3,0.5,21,29,65,0.00,0.11,0.11,0.00,0.11,0.02,0.04,0.05,0.02,0.05,Matches,0e7ccfc4
Andy Delort,dz ALG,FW,31-216,11,5,465,5.2,0,0,0,0,0,0,0,0,2.5,2.5,0.7,3.3,2,9,44,0.00,0.00,0.00,0.00,0.00,0.49,0.14,0.64,0.49,0.64,Matches,d33c706e
Charles Traore,ml MLI,DF,31-132,9,4,323,3.6,0,0,0,0,0,0,2,0,0.0,0.0,0.5,0.5,2,7,6,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Matches,de488e56
Marcus Coco,fr FRA,FWDF,26-323,22,3,436,4.8,1,0,1,1,0,0,2,0,1.0,1.0,0.8,1.8,14,18,43,0.21,0.00,0.21,0.21,0.21,0.20,0.16,0.36,0.20,0.36,Matches,3010aefb
Fábio,br BRA,DFMF,32-308,6,3,224,2.5,0,0,0,0,0,0,1,1,0.2,0.2,0.6,0.8,4,11,18,0.00,0.00,0.00,0.00,0.00,0.08,0.24,0.32,0.08,0.32,Matches,bc7b4580
Rémy Descamps,fr FRA,GK,26-322,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,477e50ce
Abdoul Kader Bamba,fr FRA,FWMF,28-353,4,1,78,0.9,0,0,0,0,0,0,0,1,0.1,0.1,0.0,0.1,1,3,12,0.00,0.00,0.00,0.00,0.00,0.11,0.04,0.15,0.11,0.15,Matches,32f3d97e
Nathan Zeze,fr FRA,DF,17-329,1,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,fb4c5b6e
Lohann Doucet,fr FRA,MFFW,20-241,9,0,91,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,2,9,1,0.00,0.00,0.00,0.00,0.00,0.05,0.15,0.20,0.05,0.20,Matches,dff0c299
Mohamed Achi,fr FRA,FW,21-117,2,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,2,3,1,0.00,0.00,0.00,0.00,0.00,0.30,0.08,0.39,0.30,0.39,Matches,1e93fc5d
Stredair Appuah,fr FRA,MF,18-320,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,1,3,0.00,0.00,0.00,0.00,0.00,0.08,0.20,0.28,0.08,0.28,Matches,42f0113f
Loïc Affamah,fr FRA,FW,20-318,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,f1a29ddc
Junior Diaz,fr FRA,DF,19-294,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,22768e08
Gor Manvelyan,fr FRA,MF,21-034,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,55d360a3
Denis Petri?,rs SRB,GK,34-354,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,dab1b8dc
Robin Voisine,fr FRA,DF,21-036,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,686a7a31
Benjamin Leroy,fr FRA,GK,34-036,30,30,2618,29.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1e7aea56
Mounaim El Idrissy,fr FRA,FW,24-092,30,28,2345,26.1,6,0,6,6,0,0,10,0,7.2,7.2,0.9,8.2,19,38,167,0.23,0.00,0.23,0.23,0.23,0.28,0.03,0.31,0.28,0.31,Matches,fb0ee44e
Oumar Gonzalez,cm CMR,DF,25-077,27,26,2308,25.6,0,0,0,0,0,0,9,0,1.0,1.0,0.0,1.1,12,51,5,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,a9d4c241
Vincent Marchetti,fr FRA,MF,25-313,28,26,2204,24.5,0,2,2,0,0,0,6,0,2.3,2.3,1.6,3.9,62,134,53,0.00,0.08,0.08,0.00,0.08,0.09,0.07,0.16,0.09,0.16,Matches,740f00ac
Mohamed Youssouf,km COM,DF,35-048,26,23,2099,23.3,0,0,0,0,0,0,5,1,0.2,0.2,1.3,1.5,45,87,77,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches,1a85bcdb
Ismael Diallo,ci CIV,DF,26-104,26,23,2030,22.6,0,0,0,0,0,0,9,1,0.3,0.3,0.6,0.8,34,69,33,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04,Matches,b3244eeb
Cyrille Bayala,bf BFA,MF,26-354,31,23,1829,20.3,1,1,2,1,0,0,3,1,2.0,2.0,1.9,4.0,45,63,104,0.05,0.05,0.10,0.05,0.10,0.10,0.10,0.20,0.10,0.20,Matches,20e0dd86
Mathieu Coutadeur,fr FRA,MF,37-054,23,19,1696,18.8,0,0,0,0,0,0,2,0,0.1,0.1,1.0,1.1,20,104,19,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.00,0.06,Matches,ef8ae23b
Cédric Avinel,gp GLP,DF,36-244,22,17,1614,17.9,1,0,1,1,0,0,2,1,1.0,1.0,0.0,1.0,3,31,1,0.06,0.00,0.06,0.06,0.06,0.06,0.00,0.06,0.06,0.06,Matches,a94d93be
Clément Vidal,fr FRA,DFMF,22-329,22,17,1541,17.1,0,0,0,0,0,0,4,1,0.6,0.6,0.2,0.9,3,59,3,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,b2791a55
Youcef Belaïli,dz ALG,MFFW,31-060,17,15,1150,12.8,6,3,9,1,5,6,2,0,6.2,1.8,3.5,5.3,32,55,68,0.47,0.23,0.70,0.08,0.31,0.48,0.27,0.76,0.14,0.42,Matches,1a248246
Riad Nouri,fr FRA,MFFW,37-340,29,14,1487,16.5,1,1,2,1,0,1,3,0,2.3,1.5,2.2,3.7,32,36,133,0.06,0.06,0.12,0.06,0.12,0.14,0.13,0.27,0.09,0.22,Matches,374fbf7d
Romain Hamouma,fr FRA,FWMF,36-045,19,14,1079,12.0,2,2,4,2,0,0,5,2,3.0,3.0,2.3,5.3,29,47,110,0.17,0.17,0.33,0.17,0.33,0.25,0.19,0.44,0.25,0.44,Matches,0b4d8274
Mickaël Alphonse,gp GLP,DF,33-305,24,13,1279,14.2,0,0,0,0,0,0,2,0,0.5,0.5,0.6,1.2,29,46,33,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.08,0.04,0.08,Matches,0a63446f
Thomas Mangani,fr FRA,MF,36-014,24,13,1244,13.8,1,1,2,0,1,2,4,0,2.0,0.4,1.9,2.3,9,90,15,0.07,0.07,0.14,0.00,0.07,0.14,0.14,0.28,0.03,0.16,Matches,c801616a
Youssouf Koné,ml MLI,DF,27-312,13,12,916,10.2,0,0,0,0,0,0,4,0,0.0,0.0,0.1,0.1,14,23,16,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,e6eadfb8
Mickaël Barreto,fr FRA,MF,32-115,16,11,1001,11.1,1,1,2,1,0,0,1,0,0.6,0.6,1.8,2.5,21,68,47,0.09,0.09,0.18,0.09,0.18,0.06,0.16,0.22,0.06,0.22,Matches,e3844ecb
Kevin Spadanuda,ch SUI,MFFW,26-117,20,11,937,10.4,0,1,1,0,0,0,3,0,0.7,0.7,0.6,1.3,17,17,53,0.00,0.10,0.10,0.00,0.10,0.07,0.06,0.13,0.07,0.13,Matches,a45a5d95
Fernand Mayembo,cg CGO,DF,27-124,11,8,707,7.9,0,0,0,0,0,0,1,0,1.2,1.2,0.1,1.2,2,11,1,0.00,0.00,0.00,0.00,0.00,0.15,0.01,0.16,0.15,0.16,Matches,b20cc590
Bevic Moussiti-Oko,cg CGO,FW,28-105,17,7,698,7.8,1,0,1,1,0,0,1,0,1.8,1.8,0.8,2.7,10,10,45,0.13,0.00,0.13,0.13,0.13,0.24,0.11,0.35,0.24,0.35,Matches,71d10572
Yoann Touzghar,tn TUN,FW,36-166,11,5,447,5.0,0,0,0,0,0,0,0,1,0.2,0.2,0.0,0.3,3,7,24,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches,4e47507a
Moussa Soumano,fr FRA,FW,17-308,10,4,390,4.3,1,0,1,1,0,0,2,0,0.4,0.4,0.2,0.6,3,1,13,0.23,0.00,0.23,0.23,0.23,0.10,0.05,0.15,0.10,0.15,Matches,86a49468
François-Joseph Sollacaro,fr FRA,GK,29-053,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f19f32b1
Florian Chabrolle,fr FRA,MF,25-036,6,3,321,3.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,14,8,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,5d9577aa
Yanis Cimignani,fr FRA,MFDF,21-111,8,3,279,3.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,0,17,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09,Matches,7495aba7
Kouamé Botué,bf BFA,FWMF,20-279,8,2,229,2.5,0,0,0,0,0,0,0,0,1.2,1.2,0.1,1.3,4,4,16,0.00,0.00,0.00,0.00,0.00,0.48,0.05,0.53,0.48,0.53,Matches,65fcf987
Qazim Laçi,al ALB,MF,27-114,9,2,212,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0,24,4,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.15,0.06,0.15,Matches,eb0db257
Moussa Djitte,sn SEN,FW,23-221,6,1,136,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,0,2,12,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.10,0.09,0.10,Matches,627b570a
Ghjuvanni Quilichini,fr FRA,GK,20-254,1,0,82,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1b729a98
Ivane Chegra,fr FRA,MFFW,19-071,2,0,74,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1237c049
Paolo Lebas,pt POR,MF,20-023,1,0,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,5bf26efc
Ruan Levine,br BRA,MFFW,24-114,3,0,24,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0,1,4,0.00,0.00,0.00,0.00,0.00,0.56,0.46,1.02,0.56,1.02,Matches,17e25e72
Mehdi Puch Herrantz,fr FRA,MF,19-113,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.35,0.00,0.35,Matches,7be7c08b
Ben Hamed Touré,ci CIV,FW,19-265,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c7eebddf
Anthony Khelifa,fr FRA,DF,17-235,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3670aa71
Gaëtan Courtet,fr FRA,FW,34-080,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,386de9b1
Victor Lebas,pt POR,DF,18-241,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,14e7e7ad
Tony Strata,fr FRA,FW,18-248,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,4ca4f263
Erik Palmer-Brown,us USA,DF,26-019,34,32,2831,31.5,0,0,0,0,0,0,4,0,1.0,1.0,0.4,1.4,6,70,0,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.05,Matches,e5c1e0ca
Yoann Salmier,gf GUF,DF,30-173,30,29,2470,27.4,1,0,1,1,0,0,5,1,1.1,1.1,0.4,1.6,22,116,8,0.04,0.00,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06,Matches,c3725db2
Mama Samba Baldé,gw GNB,FW,27-188,31,28,2454,27.3,12,3,15,10,2,2,6,2,10.5,9.0,2.1,11.1,46,51,165,0.44,0.11,0.55,0.37,0.48,0.38,0.08,0.46,0.33,0.41,Matches,fb14aa28
Gauthier Gallon,fr FRA,GK,30-020,27,27,2430,27.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,db3164e1
Rominigue Kouamé,ml MLI,MF,26-147,28,27,2317,25.7,1,1,2,1,0,0,7,0,1.2,1.2,2.0,3.2,55,154,34,0.04,0.04,0.08,0.04,0.08,0.05,0.08,0.13,0.05,0.13,Matches,86a2ba20
Rony Lopes,pt POR,MFFW,27-136,28,25,1987,22.1,5,5,10,5,0,0,2,0,4.5,4.5,4.5,9.0,51,77,103,0.23,0.23,0.45,0.23,0.45,0.20,0.20,0.41,0.20,0.41,Matches,7c2965bb
Thierno Balde,fr FRA,DF,20-337,28,22,1921,21.3,0,0,0,0,0,0,1,0,0.3,0.3,1.0,1.3,55,58,104,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches,3975195f
Xavier Chavalerin,fr FRA,MF,32-067,30,21,2066,23.0,3,2,5,3,0,0,3,0,1.4,1.4,2.2,3.6,15,83,42,0.13,0.09,0.22,0.13,0.22,0.06,0.10,0.15,0.06,0.15,Matches,279ddf6a
Wilson Odobert,fr FRA,MFFW,18-166,31,18,1684,18.7,4,2,6,4,0,0,0,0,2.6,2.6,1.8,4.4,67,43,127,0.21,0.11,0.32,0.21,0.32,0.14,0.10,0.24,0.14,0.24,Matches,35516eac
Yasser Larouci,dz ALG,DF,22-132,26,18,1561,17.3,1,0,1,1,0,0,1,0,0.5,0.5,1.4,1.8,64,59,99,0.06,0.00,0.06,0.06,0.06,0.03,0.08,0.11,0.03,0.11,Matches,0ed063d6
Andreas Bruus,dk DEN,DFFW,24-117,23,17,1519,16.9,0,2,2,0,0,0,2,0,0.5,0.5,1.7,2.2,44,40,112,0.00,0.12,0.12,0.00,0.12,0.03,0.10,0.13,0.03,0.13,Matches,b088d5d3
Jackson Porozo,ec ECU,DF,22-282,20,16,1517,16.9,2,0,2,2,0,0,3,0,2.7,2.7,0.1,2.8,6,25,3,0.12,0.00,0.12,0.12,0.12,0.16,0.01,0.17,0.16,0.17,Matches,7d704e92
Adil Rami,fr FRA,DF,37-137,18,16,1416,15.7,0,1,1,0,0,0,2,0,0.6,0.6,0.6,1.2,4,29,2,0.00,0.06,0.06,0.00,0.06,0.04,0.04,0.07,0.04,0.07,Matches,8dbff17c
Renaud Ripart,fr FRA,FWMF,30-060,26,15,1320,14.7,4,1,5,4,0,0,4,0,3.5,3.5,1.9,5.4,28,47,104,0.27,0.07,0.34,0.27,0.34,0.24,0.13,0.37,0.24,0.37,Matches,beae3a73
Lucien Agoume,fr FRA,MF,21-093,15,14,1094,12.2,0,1,1,0,0,0,5,0,0.8,0.8,1.1,1.9,9,93,10,0.00,0.08,0.08,0.00,0.08,0.07,0.09,0.16,0.07,0.16,Matches,8bc8829a
Abdu Conté,pt POR,DF,25-050,16,13,1177,13.1,1,2,3,1,0,0,0,0,0.6,0.6,1.9,2.4,30,51,87,0.08,0.15,0.23,0.08,0.23,0.04,0.14,0.19,0.04,0.19,Matches,cfa49cc1
Florian Tardieu,fr FRA,MF,31-021,14,11,1008,11.2,3,0,3,0,3,3,2,0,2.9,0.5,1.0,1.5,20,83,17,0.27,0.00,0.27,0.00,0.00,0.26,0.09,0.35,0.05,0.14,Matches,ed39121c
Mateusz Lis,pl POL,GK,26-075,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,fd78b105
Ike Ugbo,ca CAN,FWMF,24-234,22,6,633,7.0,2,1,3,2,0,0,0,0,2.0,2.0,0.5,2.5,4,4,31,0.28,0.14,0.43,0.28,0.43,0.29,0.07,0.36,0.29,0.36,Matches,8a53d24b
Papa Ndiaga Yade,sn SEN,DF,23-128,13,6,552,6.1,0,2,2,0,0,0,1,1,0.7,0.7,1.3,1.9,28,16,45,0.00,0.33,0.33,0.00,0.33,0.11,0.21,0.32,0.11,0.32,Matches,87e9c7cd
Banhie Zoukrou,fr FRA,DF,20-006,6,3,341,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,9,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,aefa3050
Jeff Reine-Adélaïde,fr FRA,MF,25-116,6,3,233,2.6,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.8,10,20,8,0.00,0.39,0.39,0.00,0.39,0.12,0.17,0.29,0.12,0.29,Matches,d504b3e1
Tristan Dingomé,cm CMR,MF,32-085,8,0,99,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,1,6,4,0.00,0.00,0.00,0.00,0.00,0.16,0.23,0.39,0.16,0.39,Matches,92b56413
Alexis Tibidi,fr FRA,FWMF,19-191,3,0,74,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ca6f4846
Mathis Hamdi,fr FRA,DF,19-207,2,0,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a94571f6
Kyliane Dong,fr FRA,DFMF,18-228,3,0,58,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,0,7,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches,836dc4a8
Ante Palaversa,hr CRO,MF,23-037,2,0,31,0.3,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,0,0,0,2.90,0.00,2.90,2.90,2.90,1.47,0.19,1.66,1.47,1.66,Matches,cd9b37a3
Amar Ahmed,se SWE,FW,19-083,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,22396615
Jordan Dongmo,cm CMR,MF,22-103,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1b5b32d2
Marlos Moreno,co COL,MFDF,26-235,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8499c713
Ryan Fage,fr FRA,MF,19-194,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,004cce90
Rudy Kohon,fr FRA,DF,18-355,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,9cd28348
Derek Mazou-Sacko,fr FRA,MF,18-219,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,810edef9
Corentin Michel,be BEL,GK,23-054,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,4fe0044b
